,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,0,16.1339,0.23233,-0.70284,0.49915,1.4691,-1.3988,10.6491,11.5298,-2.2285,0.36784,2.5168,-1.19,-0.25535,0.36903,5.8786,-1.0141,-1.7703,-0.72308,0,-1.8042,-2.9631,1.5881,1.979,1.2698,2.7027,2.4214,-1.7561,-0.036253,-0.55765,-0.063346,-1.156,-0.81322,1.3832,-0.33304,1.9137,0,-1.5808,0.054826,-1.2203,6.746,1.3223,-0.22767,-0.20214,-0.34352,-0.46637,-0.10688,-0.36065,0,-4.0441,-1.0211,0.33008,-2.192,-1.7889,-1.7518,-0.53042
2,5.676,0,0.40174,-39.9696,126.0202,-51.4739,-4.1416,-17.6444,-10.2237,-18.3654,174.3607,49.6301,5.7634,4.09,-7.621,-48.3179,-3.3087,-7.9548,-24.8745,0,-23.8278,24.4408,-8.1774,32.1833,-38.7005,-11.4498,-4.8091,-13.4285,-1.3557,7.1827,-19.5001,-19.6458,3.3349,-2.3999,48.4281,-5.6112,0,-13.9294,9.2787,5.8717,13.4805,-8.2236,-5.5258,-4.061,-0.35907,-6.1532,1.7067,7.0784,0,134.825,-25.3145,5.2858,9.0031,-8.3355,-18.9957,-8.9767
3,2.8881,6.7628,0,137.1741,12.0767,89.5691,3.1208,-1.376,-10.4541,8.4289,-3.454,14.904,-14.8171,-3.678,-16.7895,96.8715,-15.926,-11.3533,-8.3198,0,0.60981,-19.256,33.0305,0.56489,-18.158,-16.2203,0.63588,-7.2938,-1.0802,26.9739,-14.434,-14.6229,1.85,-1.9708,-13.8955,44.2983,0,-27.2696,36.4881,49.1775,-12.0617,28.2625,-3.952,-4.0328,17.7614,-5.2269,0.37577,10.4846,0,-17.2078,-24.5462,-5.6725,3.7271,-1.3401,-20.9519,-13.093
4,-2.2849,-4.8518,74.766,0,50.0116,-14.8195,-14.4935,-50.6942,-33.3288,-64.4536,-32.0008,17.9938,-15.1857,-5.0342,-6.1113,36.0295,-25.0285,-20.2643,165.5207,0,-54.6748,-29.2319,-13.763,31.7883,-6.6634,-8.4623,-9.6589,-27.131,-1.753,-9.1902,-22.4717,-6.6835,-3.6379,-6.5737,83.394,37.4691,0,-32.6952,-1.4628,36.8663,-21.3261,-31.4514,-12.8863,-9.9937,-6.0392,-1.6348,9.8229,-8.075,0,26.2533,23.9693,-9.391,143.2921,-17.4395,-5.7427,-18.702
5,2.2732,32.1448,5.777,20.3955,0,183.9793,-58.079,-116.448,46.4819,-117.4019,-98.6441,-28.7153,-81.5835,-15.3055,51.0609,-131.9261,-41.6248,148.4957,-53.6648,0,-157.0201,-130.7464,-92.855,-157.9358,-31.8132,-98.9694,-7.658,40.7386,-0.75733,3.2619,87.5006,0.50157,4.8103,59.4168,91.9721,19.6639,0,40.1387,96.4983,-7.884,54.669,2.5568,-1.4168,-0.098789,-0.93282,-19.9746,0.70377,-1.0193,0,-313.0903,-5.7595,-9.4728,234.0602,-151.6917,-49.4157,10.3879
6,3.5932,-36.16,57.2701,11.4444,265.7211,0,-21.9402,-83.5396,-21.5161,44.2263,0.87987,1.5548,-26.8571,-1.8755,-22.7194,120.7158,-63.0361,-26.2687,74.465,0,48.7951,83.2022,-58.6973,26.9887,0.51773,-27.6944,18.0575,10.9913,1.1015,0.71119,-33.8096,31.3584,-8.9873,-7.7506,-43.8327,97.538,0,-41.3277,2.8585,58.9761,-24.2353,38.3633,-19.3071,-14.5242,-3.0964,-10.3763,-4.0353,5.853,0,89.1119,-63.6412,3.4991,18.9318,-41.2514,-73.3278,-21.5766
7,-1.4863,7.3753,-3.7146,-14.5629,-22.6652,-15.5872,0,-38.556,45.2695,-6.154,-46.687,-15.9712,-30.0115,-3.1317,35.2982,-39.4478,-35.8674,90.686,-17.8569,0,-58.771,67.1014,-49.1038,-27.1368,-14.3791,-30.1568,-7.6903,29.3079,-0.92268,1.6555,-27.2338,-20.8063,-3.1353,6.3033,-0.71072,1.7467,0,-31.4604,7.3789,-16.2078,8.5512,74.0583,0.37613,-0.48383,-1.0743,-6.8801,-0.15297,-3.5394,0,-109.82,-21.9887,13.1757,34.5875,-7.6371,-17.7014,-0.61108
8,-0.38374,-5.1391,-13.8921,-35.7795,-143.8418,-56.3392,-67.0912,0,5.6788,556.8824,-180.0372,-26.6366,-25.218,-12.6027,-26.1139,-133.1954,-74.1755,-49.8025,-44.7553,0,-178.4269,-40.1459,-125.8003,-169.8057,-95.8849,-85.4494,56.9446,43.4397,-3.6036,5.649,-3.8129,2.4264,-19.0527,-5.8258,-33.7996,20.4989,0,-65.6002,40.4218,-14.2898,48.4832,24.1435,2.7436,2.4745,-2.3845,-15.2792,-2.7425,-5.1186,0,-154.1266,96.5421,-16.1349,38.1241,-83.8207,104.243,-11.035
9,1.4342,5.6015,-4.5699,-26.9785,5.486,-10.5448,27.2207,-2.019,0,-17.7872,20.2875,11.2975,-13.8258,1.164,-5.2713,131.4906,-23.1875,-15.339,-20.7435,0,-41.3483,47.984,-25.7444,-14.7253,-17.9901,-10.0077,-4.5211,-30.641,-0.796,2.523,-9.2297,-11.3279,-1.9345,2.2953,-3.3812,-14.5542,0,-14.1812,1.349,-11.0586,0.69081,-0.19684,-2.7663,-1.1369,-3.5765,-4.0622,-0.25084,0.75458,0,7.0705,-18.4207,-3.1495,12.4638,-17.2019,44.9639,-5.6295
10,-0.72638,-4.9674,7.6694,-68.6865,-117.7496,9.3958,-20.0329,494.4569,-31.964,0,32.7086,102.8885,-49.2048,-4.9371,-17.5314,-126.7006,-43.8227,-44.0246,-73.8008,0,-134.2028,-80.9379,-49.3689,-104.0513,-49.0409,-45.8581,-6.5386,-70.296,-2.4942,18.7966,-36.4243,-26.7472,4.8446,6.4217,7.3812,-16.2014,0,-61.9366,88.9732,33.1759,18.3655,41.2096,-1.4016,-1.087,0.53969,-17.9864,1.6115,4.2385,0,-157.7168,-48.2546,15.4637,65.6817,-61.2627,24.6695,-4.6947
