Source,Target,Weight
1,2,16.1339
1,3,0.23233
1,5,0.49915
1,6,1.4691
1,8,10.6491
1,9,11.5298
1,11,0.36784
1,12,2.5168
1,15,0.36903
1,16,5.8786
1,23,1.5881
1,24,1.979
1,25,1.2698
1,26,2.7027
1,27,2.4214
1,34,1.3832
1,36,1.9137
1,39,0.054826
1,41,6.746
1,42,1.3223
1,52,0.33008
2,1,5.676
2,3,0.40174
2,5,126.0202
2,11,174.3607
2,12,49.6301
2,13,5.7634
2,14,4.09
2,22,24.4408
2,24,32.1833
2,30,7.1827
2,33,3.3349
2,35,48.4281
2,39,9.2787
2,40,5.8717
2,41,13.4805
2,47,1.7067
2,48,7.0784
2,50,134.825
2,52,5.2858
2,53,9.0031
3,1,2.8881
3,2,6.7628
3,4,137.1741
3,5,12.0767
3,6,89.5691
3,7,3.1208
3,10,8.4289
3,12,14.904
3,16,96.8715
3,21,0.60981
3,23,33.0305
3,24,0.56489
3,27,0.63588
3,30,26.9739
3,33,1.85
3,36,44.2983
3,39,36.4881
3,40,49.1775
3,42,28.2625
3,45,17.7614
3,47,0.37577
3,48,10.4846
3,53,3.7271
4,3,74.766
4,5,50.0116
4,12,17.9938
4,16,36.0295
4,19,165.5207
4,24,31.7883
4,35,83.394
4,36,37.4691
4,40,36.8663
4,47,9.8229
4,50,26.2533
4,51,23.9693
4,53,143.2921
5,1,2.2732
5,2,32.1448
5,3,5.777
5,4,20.3955
5,6,183.9793
5,9,46.4819
5,15,51.0609
5,18,148.4957
5,28,40.7386
5,30,3.2619
5,31,87.5006
5,32,0.50157
5,33,4.8103
5,34,59.4168
5,35,91.9721
5,36,19.6639
5,38,40.1387
5,39,96.4983
5,41,54.669
5,42,2.5568
5,47,0.70377
5,53,234.0602
5,56,10.3879
6,1,3.5932
6,3,57.2701
6,4,11.4444
6,5,265.7211
6,10,44.2263
6,11,0.87987
6,12,1.5548
6,16,120.7158
6,19,74.465
6,21,48.7951
6,22,83.2022
6,24,26.9887
6,25,0.51773
6,27,18.0575
6,28,10.9913
6,29,1.1015
6,30,0.71119
6,32,31.3584
6,36,97.538
6,39,2.8585
6,40,58.9761
6,42,38.3633
6,48,5.853
6,50,89.1119
6,52,3.4991
6,53,18.9318
7,2,7.3753
7,9,45.2695
7,15,35.2982
7,18,90.686
7,22,67.1014
7,28,29.3079
7,30,1.6555
7,34,6.3033
7,36,1.7467
7,39,7.3789
7,41,8.5512
7,42,74.0583
7,43,0.37613
7,52,13.1757
7,53,34.5875
8,9,5.6788
8,10,556.8824
8,27,56.9446
8,28,43.4397
8,30,5.649
8,32,2.4264
8,36,20.4989
8,39,40.4218
8,41,48.4832
8,42,24.1435
8,43,2.7436
8,44,2.4745
8,51,96.5421
8,53,38.1241
8,55,104.243
9,1,1.4342
9,2,5.6015
9,5,5.486
9,7,27.2207
9,11,20.2875
9,12,11.2975
9,14,1.164
9,16,131.4906
9,22,47.984
9,30,2.523
9,34,2.2953
9,39,1.349
9,41,0.69081
9,48,0.75458
9,50,7.0705
9,53,12.4638
9,55,44.9639
10,3,7.6694
10,6,9.3958
10,8,494.4569
10,11,32.7086
10,12,102.8885
10,30,18.7966
10,33,4.8446
10,34,6.4217
10,35,7.3812
10,39,88.9732
10,40,33.1759
10,41,18.3655
10,42,41.2096
10,45,0.53969
10,47,1.6115
10,48,4.2385
10,52,15.4637
10,53,65.6817
10,55,24.6695
11,2,174.2442
11,9,27.803
11,10,33.4717
11,25,70.6866
11,27,1.6548
11,29,2.9553
11,30,10.9039
11,32,4.5252
11,33,9.8201
11,35,28.7336
11,36,14.0385
11,39,41.8714
11,40,13.635
11,41,3.1442
11,45,31.8859
11,46,32.6863
11,48,7.6738
11,51,19.2401
11,52,2.1777
11,53,26.835
12,2,38.5094
12,3,26.7868
12,10,105.2813
12,14,1.9248
12,15,3.9178
12,33,16.4419
12,35,26.8664
12,36,1.6405
12,39,16.5134
12,40,25.1191
12,42,15.8372
12,47,38.0549
12,50,45.4826
12,53,12.5106
13,1,1.6255
13,15,171.0888
13,17,102.0572
13,18,157.0251
13,25,31.7324
13,29,5.8173
13,34,10.1366
13,36,28.3828
13,39,8.8907
13,43,1.3882
13,46,18.0132
13,47,0.16654
13,51,32.687
13,53,67.3927
13,54,36.8094
13,56,0.91092
14,2,1.1921
14,9,12.2764
14,10,7.0576
14,15,1.5001
14,18,3.0393
14,19,2.5681
14,30,0.97203
14,35,1.3145
14,39,16.5544
14,40,0.87441
14,42,1.2577
14,46,0.815
14,54,2.1314
15,5,130.2799
15,7,107.3531
15,12,12.1259
15,13,301.9093
15,17,398.1209
15,21,1.7024
15,22,4.1966
15,26,166.9333
15,34,22.2342
15,39,4.6437
15,41,2.7281
15,43,1.098
15,47,1.6193
15,50,81.27
15,52,7.2573
15,54,209.606
15,56,0.34079
16,1,24.3756
16,3,80.5969
16,4,29.1829
16,6,31.4244
16,7,65.87
16,9,185.8493
16,17,33.1432
16,25,408.1269
16,27,56.058
16,30,0.13061
16,33,0.16088
16,35,82.5979
16,36,68.6485
16,40,81.9938
16,41,3.6891
16,46,36.7951
16,48,3.7412
16,51,82.8162
17,1,0.76782
17,2,1.9177
17,5,27.1627
17,13,97.6838
17,15,225.1377
17,16,16.1881
17,18,506.9503
17,30,3.1762
17,35,1.9095
17,39,32.0106
17,41,6.7919
17,48,7.5199
17,53,68.673
17,56,3.1204
18,1,1.9277
18,5,92.7912
18,7,92.8268
18,13,106.4715
18,14,2.2675
18,15,130.2513
18,17,390.1415
18,22,13.7137
18,26,39.1406
18,28,4.8592
18,30,3.4455
18,33,7.7447
18,39,13.6452
18,41,44.4862
18,44,0.25919
18,50,9.8683
18,54,135.6687
18,56,2.4418
19,1,2.5358
19,3,16.2523
19,4,133.8845
19,6,135.993
19,23,6.7769
19,25,139.2424
19,27,65.1931
19,33,13.7104
19,35,124.4849
19,36,38.4623
19,40,60.5538
19,46,20.975
19,48,2.9597
19,50,57.1631
19,51,76.2249
19,56,2.2716
21,6,72.6909
21,18,6.5569
21,25,89.8715
21,26,56.8585
21,28,21.4447
21,30,4.3361
21,31,139.9129
21,32,33.1229
21,38,111.3184
21,39,16.4316
21,41,4.8493
21,42,33.1868
21,51,116.4966
21,53,37.9037
22,2,10.8587
22,3,7.8537
22,6,30.7962
22,7,25.6265
22,17,7.6686
22,18,24.2365
22,25,80.4002
22,27,22.4797
22,28,109.1855
22,31,0.47031
22,32,93.7421
22,35,79.3942
22,38,47.8985
22,41,10.9252
22,46,5.6916
23,22,5.4527
